intentId;contestId;candidateId;amount;status;createdAt;transactionId;userId
0BylJzSkGYWURLVx9BKO;votes-artistes;lrK8tSxZpQPYFTmIF7On;1000;pending;2025-12-16T14:57:52.106Z;;guest
0COSJ2WI5gDkKEfXOPzQ;votes-artistes;TXBLgEfug2LJqx5MXWe4;100;pending;2025-12-15T22:42:33.235Z;;guest
0MElkQ9hr2gbTFxhAKHH;votes-artistes;GEVWzgnMyTnavWjEa6pg;100;pending;2025-12-19T20:46:24.970Z;;guest
0QxzRVcdDUrpLxfcTTGk;votes-artistes;oucOMPgDKDQR8GKDvFHJ;20000;pending;2025-12-19T22:25:10.694Z;;guest
0VKdaOpUwnSeyxnXahOb;votes-artistes;RIAr7Uw1uo74gAhWWM9c;100;counted;2025-12-15T11:15:14.738Z;5795928518955360;guest
0XyeFHEmIKNAZZ23COA5;votes-artistes;TXBLgEfug2LJqx5MXWe4;100;counted;2025-12-15T22:08:47.546Z;4150557103741990;guest
0a9el4BxHJTMe5j2zRv6;votes-artistes;81cTWJpXQxqb1LcEQ9Nd;100;counted;2025-12-16T07:19:12.189Z;9905354360633980;guest
0eQpGvLU505tMyJ42Z7j;votes-artistes;TXBLgEfug2LJqx5MXWe4;100;pending;2025-12-15T15:41:57.332Z;;guest
0egg6YDjGeJWUoeOPV9E;votes-artistes;TXBLgEfug2LJqx5MXWe4;2000;pending;2025-12-15T15:07:19.582Z;;guest
0f137rTzE4GoQE2xcyc0;votes-artistes;oucOMPgDKDQR8GKDvFHJ;100;counted;2025-12-15T17:53:58.026Z;2541737146012630;guest
0gXey68aNdeTtr9O4qpC;votes-artistes;oucOMPgDKDQR8GKDvFHJ;300;pending;2025-12-15T21:03:17.039Z;;guest
0gymvtsN1BIxef7Uhcn6;votes-artistes;GEVWzgnMyTnavWjEa6pg;9000;counted;2025-12-19T22:44:27.683Z;2469959517190510;guest
0jAmGgpjGF3bKb7GasRk;votes-artistes;TXBLgEfug2LJqx5MXWe4;4000;pending;2025-12-15T19:06:16.832Z;;guest
0o8owWE0gZAeD9qQI2LN;votes-artistes;TXBLgEfug2LJqx5MXWe4;1000;counted;2025-12-15T21:15:43.755Z;4484170622727320;guest
0oJsJSCJSc77jF7bNZ1o;votes-artistes;oucOMPgDKDQR8GKDvFHJ;100;counted;2025-12-16T18:19:16.139Z;3322213842673390;guest
0rLTO35prawoHtzHgsdw;votes-artistes;oucOMPgDKDQR8GKDvFHJ;100;counted;2025-12-20T04:35:21.171Z;8133004178981570;guest
0rtIBbkGd2gHlT7LhiHG;votes-artistes;oucOMPgDKDQR8GKDvFHJ;100;pending;2025-12-18T18:55:15.304Z;;guest
0sCor9BI7VAiNdFRb2Uo;votes-artistes;ANLYRIZ6gRU8LgLSyaRq;1000;counted;2025-12-20T15:55:26.026Z;3679763162183990;guest
