id,contestId,name,media,biography,slug,phoneHash,photoUrl,photoPath,source,status,voteCount,createdAt,publishedAt,updatedAt
6OBg0seoTFcTZ9pLe7kM,f9NdI6f1lH7Z2ZxUzEFt,FATONDJI Claude,Radio FM Oré-Ofè de Tchetti,Radio FM Oré-Ofè de Tchetti,fatondji-claude-radio-fm-ore-ofe-de-tchetti,87ae64763464869fcadd00147ee5feae758d103ed6bd26b46a8e94dc0668d6dd,https://firebasestorage.googleapis.com/v0/b/africaphone-vente.firebasestorage.app/o/contest-submissions%2Ff9ndi6f1lh7z2zxuzeft%2F87ae64763464869f-8f4e73d365.jpg?alt=media,contest-submissions/f9ndi6f1lh7z2zxuzeft/87ae64763464869f-8f4e73d365.jpg,form,published,429,2025-11-13T12:07:53.437Z,2025-11-13T12:07:53.437Z,2025-11-13T12:07:53.437Z
1dAcvBNyP92iOeMJFvcJ,f9NdI6f1lH7Z2ZxUzEFt,Romaric Hercule Odah,Le Courrier Béninois,Le Courrier Béninois,romaric-hercule-odah-le-courrier-beninois,de1b0f54a113732599982fcacfe382b2a19eccd980e29599d94ccdc0410924dd,https://firebasestorage.googleapis.com/v0/b/africaphone-vente.firebasestorage.app/o/contest-submissions%2Ff9ndi6f1lh7z2zxuzeft%2Fde1b0f54a1137325-9db6a545ac.jpg?alt=media,contest-submissions/f9ndi6f1lh7z2zxuzeft/de1b0f54a1137325-9db6a545ac.jpg,form,published,213,2025-11-12T19:52:42.629Z,2025-11-12T19:52:42.629Z,2025-11-12T19:52:42.629Z
dTBSRcAIzSbvIYWDiXcL,f9NdI6f1lH7Z2ZxUzEFt,DJAHOTO Générose Olivéra,Radio oré-ofè de Tchetti,Radio oré-ofè de Tchetti,djahoto-generose-olivera-radio-ore-ofe-de-tchetti,c0601bbda5ff54d71ea5d4776eb4900061c4220544b004f0dc3d41860a7c7cef,https://firebasestorage.googleapis.com/v0/b/africaphone-vente.firebasestorage.app/o/contest-submissions%2Ff9ndi6f1lh7z2zxuzeft%2Fc0601bbda5ff54d7-176435101c.jpg?alt=media,contest-submissions/f9ndi6f1lh7z2zxuzeft/c0601bbda5ff54d7-176435101c.jpg,form,published,190,2025-11-13T11:44:29.731Z,2025-11-13T11:44:29.731Z,2025-11-13T11:44:29.731Z
1S3JQ3vkdGbgsLgNhTTE,f9NdI6f1lH7Z2ZxUzEFt,Abidémi Fabrice ADETOKOUN,Independant,Independant,abidemi-fabrice-adetokoun-independant,a1e627c7d68baff10b94c4dec826537bbe2af91068c292908e83829100517c6f,https://firebasestorage.googleapis.com/v0/b/africaphone-vente.firebasestorage.app/o/contest-submissions%2Ff9ndi6f1lh7z2zxuzeft%2Fa1e627c7d68baff1-c5eaa5614e.jpg?alt=media,contest-submissions/f9ndi6f1lh7z2zxuzeft/a1e627c7d68baff1-c5eaa5614e.jpg,form,published,159,2025-11-14T09:16:37.549Z,2025-11-14T09:16:37.549Z,2025-11-14T09:16:37.549Z
V4Yp04b0gzvcy3nUXW3a,f9NdI6f1lH7Z2ZxUzEFt,MASSEDE Mawouna Germain,2A INFOS BÉNIN 🇧🇯,"Journaliste sportif et grand passionné de l’information. Avec 2A INFOS où je suis directeur de publication nous travaillons a révéler les activités à travers des reportages et sujet. Ma devise «cherchez toujours la perfection quand bien même elle n’est pas de ce monde, car à défaut vous donnerez le meilleur de vous même »",massede-mawouna-germain-2a-infos-benin,b15062b63e85a11fa447d7ab2e64dca3e5e7604a16306bcf581f01ef0241c37a,https://firebasestorage.googleapis.com/v0/b/africaphone-vente.firebasestorage.app/o/contest-submissions%2Ff9ndi6f1lh7z2zxuzeft%2Fb15062b63e85a11f-aab0413282.jpg?alt=media,contest-submissions/f9ndi6f1lh7z2zxuzeft/b15062b63e85a11f-aab0413282.jpg,form,published,80,2025-11-12T19:01:59.430Z,2025-11-12T19:01:59.430Z,2025-11-12T19:01:59.430Z
bjoTtHpZVlme8X7VT3zc,f9NdI6f1lH7Z2ZxUzEFt,AROBATAN Emmanuel,Indépendant,Indépendant,arobatan-emmanuel-independant,380225515b949c7214585fd4756b5bec0a492adaa4104b908c796570099d2f15,https://firebasestorage.googleapis.com/v0/b/africaphone-vente.firebasestorage.app/o/contest-submissions%2Ff9ndi6f1lh7z2zxuzeft%2F380225515b949c72-c481a99985.jpg?alt=media,contest-submissions/f9ndi6f1lh7z2zxuzeft/380225515b949c72-c481a99985.jpg,form,published,75,2025-11-13T16:05:43.545Z,2025-11-13T16:05:43.545Z,2025-11-13T16:05:43.545Z
qTyVM4EoESWnV6BRS7bo,f9NdI6f1lH7Z2ZxUzEFt,ZOMAKPE Jeannot Ulrich Armel,Indépendant,Indépendant,zomakpe-jeannot-ulrich-armel-independant,bf5338dea40f6dcc47a202ac421bfff4dc07f0112b75db55b39ada27ec93f95e,https://firebasestorage.googleapis.com/v0/b/africaphone-vente.firebasestorage.app/o/contest-submissions%2Ff9ndi6f1lh7z2zxuzeft%2Fbf5338dea40f6dcc-e39e0ae212.jpg?alt=media,contest-submissions/f9ndi6f1lh7z2zxuzeft/bf5338dea40f6dcc-e39e0ae212.jpg,form,published,62,2025-11-14T03:00:41.777Z,2025-11-14T03:00:41.777Z,2025-11-14T03:00:41.777Z
3krbHK1gSGCJIUPQN7u2,f9NdI6f1lH7Z2ZxUzEFt,FANOU HOUÉTCHÉNOUKPO Serge,Radio Rurale Locale de Banikoara,Radio Rurale Locale de Banikoara,fanou-houetchenoukpo-serge-radio-rurale-locale-de-banikoara,a3cd8b925b1beea455dccfea6d9be5ddeca0a035429b0bd699cd09121c10cefc,https://firebasestorage.googleapis.com/v0/b/africaphone-vente.firebasestorage.app/o/contest-submissions%2Ff9ndi6f1lh7z2zxuzeft%2Fa3cd8b925b1beea4-3e39c756d5.jpg?alt=media,contest-submissions/f9ndi6f1lh7z2zxuzeft/a3cd8b925b1beea4-3e39c756d5.jpg,form,published,35,2025-11-14T12:44:36.046Z,2025-11-14T12:44:36.046Z,2025-11-14T12:44:36.046Z
GcIY4FbAVJ4Kq7aeTX3n,f9NdI6f1lH7Z2ZxUzEFt,M'TOAMA M'poli Ange,Fraternité,Fraternité,m-toama-m-poli-ange-fraternite,361e8176bae1e89b72a286a117cb12f2ccade704246634155606e9ecd7b4b27e,https://firebasestorage.googleapis.com/v0/b/africaphone-vente.firebasestorage.app/o/contest-submissions%2Ff9ndi6f1lh7z2zxuzeft%2F361e8176bae1e89b-3809ddb894.jpg?alt=media,contest-submissions/f9ndi6f1lh7z2zxuzeft/361e8176bae1e89b-3809ddb894.jpg,form,published,23,2025-11-16T22:46:28.415Z,2025-11-16T22:46:28.415Z,2025-11-16T22:46:28.415Z
HOqz6ebxpGl44cRmkUQb,f9NdI6f1lH7Z2ZxUzEFt,TAMOU ZIME Séro David,Indépendant,Indépendant,tamou-zime-sero-david-independant,114d0975e7d59b0228175e009bff9441bbf6f4617ddacce8546c61f3ed7e4e5b,https://firebasestorage.googleapis.com/v0/b/africaphone-vente.firebasestorage.app/o/contest-submissions%2Ff9ndi6f1lh7z2zxuzeft%2F114d0975e7d59b02-624b932c92.jpg?alt=media,contest-submissions/f9ndi6f1lh7z2zxuzeft/114d0975e7d59b02-624b932c92.jpg,form,published,17,2025-11-15T11:16:07.524Z,2025-11-15T11:16:07.524Z,2025-11-15T11:16:07.524Z
