intentId,contestId,candidateId,amount,status,createdAt
0BylJzSkGYWURLVx9BKO,votes-artistes,lrK8tSxZpQPYFTmIF7On,1000,pending,2025-12-16T14:57:52.106Z
0COSJ2WI5gDkKEfXOPzQ,votes-artistes,TXBLgEfug2LJqx5MXWe4,100,pending,2025-12-15T22:42:33.235Z
0MElkQ9hr2gbTFxhAKHH,votes-artistes,GEVWzgnMyTnavWjEa6pg,100,pending,2025-12-19T20:46:24.970Z
0QxzRVcdDUrpLxfcTTGk,votes-artistes,oucOMPgDKDQR8GKDvFHJ,20000,pending,2025-12-19T22:25:10.694Z
0eQpGvLU505tMyJ42Z7j,votes-artistes,TXBLgEfug2LJqx5MXWe4,100,pending,2025-12-15T15:41:57.332Z
0egg6YDjGeJWUoeOPV9E,votes-artistes,TXBLgEfug2LJqx5MXWe4,2000,pending,2025-12-15T15:07:19.582Z
0gXey68aNdeTtr9O4qpC,votes-artistes,oucOMPgDKDQR8GKDvFHJ,300,pending,2025-12-15T21:03:17.039Z
0jAmGgpjGF3bKb7GasRk,votes-artistes,TXBLgEfug2LJqx5MXWe4,4000,pending,2025-12-15T19:06:16.832Z
0rtIBbkGd2gHlT7LhiHG,votes-artistes,oucOMPgDKDQR8GKDvFHJ,100,pending,2025-12-18T18:55:15.304Z
14GBG37w96yTpLNgTsCj,votes-artistes,GEVWzgnMyTnavWjEa6pg,100,pending,2025-12-15T10:02:13.717Z
14W4GGdy5sneKTgIFB6n,votes-artistes,GEVWzgnMyTnavWjEa6pg,100,pending,2025-12-15T09:43:19.975Z
1H07CaN4X1cGS8EB6DVI,votes-artistes,GEVWzgnMyTnavWjEa6pg,200,pending,2025-12-15T08:06:39.792Z
1JXalAkiLVsFvk1D1DRb,votes-artistes,oucOMPgDKDQR8GKDvFHJ,100,pending,2025-12-15T20:52:03.667Z
1PFHKMqRlKrBdmyfhNWk,votes-artistes,oucOMPgDKDQR8GKDvFHJ,100,pending,2025-12-18T09:44:41.708Z
1ROaUBNlt5HctkT0vwzR,votes-artistes,GEVWzgnMyTnavWjEa6pg,500,pending,2025-12-15T22:14:37.724Z
1ZxJ60D0YpbVFL0nftK4,votes-artistes,lrK8tSxZpQPYFTmIF7On,1000,pending,2025-12-20T03:49:27.479Z
1lpCzAHxXZkfRdwYks1G,votes-artistes,oucOMPgDKDQR8GKDvFHJ,100,pending,2025-12-15T14:41:56.044Z
1oGWcWemBIPvon0xtIZT,votes-artistes,GEVWzgnMyTnavWjEa6pg,100,pending,2025-12-15T18:47:43.480Z
1uGBSkmxJtmwsADD2Qef,votes-artistes,81cTWJpXQxqb1LcEQ9Nd,100,pending,2025-12-16T13:08:20.972Z
1uT3CZjFYhTwYOmoLtVi,votes-artistes,TXBLgEfug2LJqx5MXWe4,1000,pending,2025-12-19T22:07:31.764Z
1wbk9goCnedoiJmiKj02,votes-artistes,oucOMPgDKDQR8GKDvFHJ,100,pending,2025-12-15T16:31:56.056Z
1xhNEuNaVzJHeCfeqltq,votes-artistes,GEVWzgnMyTnavWjEa6pg,300,pending,2025-12-15T11:44:28.071Z
